text,label,is_clickbait,doc_id
"4 Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — Read more",clickbait,1,ID_0
28 Coach explains new defensive tactics after the game,sports,0,ID_1
"Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — You won't believe it (Berlin)",clickbait,1,ID_2
88 Open-source libraries accelerate machine learning workflows analitikų teigimu,tech,0,ID_3
31 Local team wins national championship in overtime,sports,0,ID_4
85 Local team wins national championship in overtime,sports,0,ID_5
Top 7 secrets companies don't want you to know — Number 5 is shocking (London),clickbait,1,ID_6
66 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,tech,0,ID_7
79 Didelė saugumo spraga paveikė milijonus vartotojų dėl rinkos reakcijos,tech,0,ID_8
10 Kaip pagreitinti kompiuterį paprastais triukais,tech,0,ID_9
54 Major security breach affects millions of users worldwide po pranešimo (Paris),tech,0,ID_10
93 Star player signs a multi-year contract with club,sports,0,ID_11
91 Messi įmušė įspūdingą įvartį Lygų taurėje,sports,0,ID_12
41 She did X — what happens next will shock you (Paris),clickbait,1,ID_13
62 Coach explains new defensive tactics after the game,sports,0,ID_14
Apple unveils a new iPhone with advanced camera and AI features (Berlin),tech,0,ID_15
"24 Ji padarė X — kas nutiks toliau, pribloškia",clickbait,1,ID_16
16 Treneris aiškino naują gynybos taktiką po rungtynių,sports,0,ID_17
Didelė saugumo spraga paveikė milijonus vartotojų — analysts say (Vilnius),tech,0,ID_18
You won't believe what happened next — You won't believe it (London),clickbait,1,ID_19
42 Start-up raises $50 million to scale its AI platform,tech,0,ID_20
74 This trick will change your life forever,clickbait,0,ID_21
She did X — what happens next will shock you — Find out why,clickbait,1,ID_22
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose in a surprise move (Madrid),sports,0,ID_23
65 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,tech,0,ID_24
"14 Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — Read more",clickbait,1,ID_25
9 Messi įmušė įspūdingą įvartį Lygų taurėje,sports,0,ID_26
74 Žvaigždė pasirašė daugiametę sutartį su klubu,sports,0,ID_27
Treneris aiškino naują gynybos taktiką po rungtynių dėl rinkos reakcijos (London),sports,0,ID_28
"45 Central bank cuts rates, markets rally on dovish guidance in a surprise move",finance,0,ID_29
Šis triukas pakeis jūsų gyvenimą amžiams — Number 5 is shocking (New York),clickbait,1,ID_30
29 Messi įmušė įspūdingą įvartį Lygų taurėje,sports,0,ID_31
23 Analysts predict record profits for the banking sector dėl rinkos reakcijos (London),finance,0,ID_32
10 Žvaigždė pasirašė daugiametę sutartį su klubu amid concerns (New York),sports,0,ID_33
7 Startuolis pritraukė 50 mln. USD DI platformos plėtrai po pranešimo (Paris),tech,0,ID_34
Local team wins national championship in overtime after report,sports,0,ID_35
19 Startuolis pritraukė 50 mln. USD DI platformos plėtrai (New York),tech,0,ID_36
7 Messi scores a stunning goal in the Champions League match,sports,0,ID_37
31 Kaip pagreitinti kompiuterį paprastais triukais,tech,0,ID_38
Apple unveils a new iPhone with advanced camera and AI features — analysts say (Kaunas),tech,0,ID_39
33 This trick will change your life forever,clickbait,1,ID_40
38 Top 7 secrets companies don't want you to know (London),clickbait,0,ID_41
62 10 reasons you should never buy this gadget (Berlin),clickbait,1,ID_42
29 You won't believe what happened next,clickbait,1,ID_43
Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus dėl rinkos reakcijos,tech,0,ID_44
31 Treneris aiškino naują gynybos taktiką po rungtynių amid concerns (London),sports,0,ID_45
49 Top 7 secrets companies don't want you to know,clickbait,0,ID_46
Coach explains new defensive tactics after the game po pranešimo (Kaunas),sports,0,ID_47
92 Local team wins national championship in overtime,sports,0,ID_48
23 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis (Kaunas),tech,0,ID_49
38 Žvaigždė pasirašė daugiametę sutartį su klubu,sports,0,ID_50
29 Coach explains new defensive tactics after the game,sports,0,ID_51
28 Transfer rumors suggest a record deal for the young striker,sports,0,ID_52
58 Apple unveils a new iPhone with advanced camera and AI features,tech,0,ID_53
55 You won't believe what happened next,clickbait,0,ID_54
"59 Ji padarė X — kas nutiks toliau, pribloškia",clickbait,1,ID_55
96 Didelė saugumo spraga paveikė milijonus vartotojų after report,tech,0,ID_56
87 10 reasons you should never buy this gadget,clickbait,0,ID_57
Start-up raises $50 million to scale its AI platform (New York),tech,0,ID_58
92 Treneris aiškino naują gynybos taktiką po rungtynių (Paris),sports,0,ID_59
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose (Vilnius),sports,0,ID_60
Apple unveils a new iPhone with advanced camera and AI features (London),tech,0,ID_61
Coach explains new defensive tactics after the game — analysts say (Vilnius),sports,0,ID_62
"58 Ji padarė X — kas nutiks toliau, pribloškia",clickbait,1,ID_63
